Time[s] X[mm] Y[mm] a[rad] c11 c12 c13 c21 c22 c23 c31 c32 c33 
33993 1084 1171 1 0.28306 0.00701096 5.97193e-06 0.00701096 28.7247 0.000603582 5.97193e-06 0.000603582 5.14131e-07  
33993 1093 1467 1 0.23133 -0.0530627 9.82181e-05 -0.0530627 0.222336 -7.02005e-05 9.82181e-05 -7.02005e-05 1.2994e-07  
33994 1083 1439 1 0.278653 0.0582831 -0.000144066 0.0582831 0.719405 -0.000124597 -0.000144066 -0.000124597 3.07982e-07  
33994 1076 1439 1 0.203619 -0.0317837 -9.7593e-05 -0.0317837 0.760715 8.3565e-05 -9.7593e-05 8.3565e-05 2.56589e-07  
33995 1079 1483 1 0.257794 -0.0456201 0.000146856 -0.0456201 0.6791 -0.000111918 0.000146856 -0.000111918 3.60275e-07  
33995 1079 1457 1 0.291944 -0.00372265 -6.49085e-05 -0.00372265 1.00152 2.45067e-05 -6.49085e-05 2.45067e-05 4.27301e-07  
33996 1079 1483 1 0.252215 -0.0213116 0.00013244 -0.0213116 0.664048 -5.53824e-05 0.00013244 -5.53824e-05 3.44173e-07  
33996 1082 1463 1 0.427229 -0.00117832 -1.352e-05 -0.00117832 1.10249 5.35776e-05 -1.352e-05 5.35776e-05 6.1475e-07  
33997 1088 1475 1 0.127562 -0.0369259 6.47193e-05 -0.0369259 0.253763 -7.36739e-05 6.47193e-05 -7.36739e-05 1.29127e-07  
33997 1076 1448 1 0.240385 -0.00577039 -0.000138496 -0.00577039 0.55524 1.43983e-05 -0.000138496 1.43983e-05 3.45578e-07  
33997 1077 1486 1 0.204755 -0.00523011 0.000117854 -0.00523011 0.493199 -1.37255e-05 0.000117854 -1.37255e-05 3.09288e-07  
33998 1078 1446 1 0.211516 0.0426839 -0.000105049 0.0426839 0.660657 -0.000116411 -0.000105049 -0.000116411 2.86497e-07  
33998 1074 1439 1 0.187478 -0.0453983 -9.79649e-05 -0.0453983 0.359492 7.97828e-05 -9.79649e-05 7.97828e-05 1.72163e-07  
33998 1078 1486 1 0.243329 -0.0503824 0.000155043 -0.0503824 0.573702 -0.000120003 0.000155043 -0.000120003 3.69291e-07  
33999 1076 1449 1 0.210239 -0.00715457 -0.000115768 -0.00715457 0.537814 2.0301e-05 -0.000115768 2.0301e-05 3.28491e-07  
33999 1077 1487 1 0.193221 -0.0194301 0.000101268 -0.0194301 0.574943 -5.75775e-05 0.000101268 -5.75775e-05 3.00088e-07  
34000 1076 1452 1 0.213583 -0.00506712 -8.3564e-05 -0.00506712 0.661755 1.94207e-05 -8.3564e-05 1.94207e-05 3.20275e-07  
34000 1078 1478 1 0.208362 0.011646 0.000115626 0.011646 0.671049 3.25119e-05 0.000115626 3.25119e-05 3.22793e-07  
34000 1091 1476 1 0.220893 -0.0567705 9.90026e-05 -0.0567705 0.222474 -8.44536e-05 9.90026e-05 -8.44536e-05 1.47279e-07  
34001 1077 1453 1 0.264487 -0.00151174 -0.000114406 -0.00151174 0.748154 4.98685e-06 -0.000114406 4.98685e-06 3.77398e-07  
34001 1089 1477 1 0.153306 -0.0461958 7.66544e-05 -0.0461958 0.165166 -6.82993e-05 7.66544e-05 -6.82993e-05 1.13332e-07  
34002 1075 1441 1 0.242487 -0.0178603 -0.000133019 -0.0178603 0.365976 3.12111e-05 -0.000133019 3.12111e-05 2.32452e-07  
34002 1074 1481 1 0.241016 0.0323947 0.000115912 0.0323947 0.501047 6.98504e-05 0.000115912 6.98504e-05 2.49932e-07  
34003 1088 1478 1 0.220295 -0.0528625 0.000110834 -0.0528625 0.226451 -7.62056e-05 0.000110834 -7.62056e-05 1.59776e-07  
34003 1074 1449 1 0.190253 -0.00777034 -9.4964e-05 -0.00777034 0.482249 2.44578e-05 -9.4964e-05 2.44578e-05 2.98907e-07  
